ELENCO
FRANCO FERRARI
FRANKE
FRANKIE MORELLO
FRATELLI ITALIA
FRAU
FRISK
FRUITELLA
FULGOR
FURLA
GABEL
GABS
GAELLE PARIS
GAIA
GALLO
GANASSINI
GANCIA
GANESH
GARDENIA ORCHIDEA
GAROFALO
GAROFALO
GAS JEANS
GAUDI'
GAUDIANELLO
GENERAL FITTINGS
GEOMAR
GEOX
GESSI
GEWISS
GHEPARD
GHERARDINI
GIACOMINI
GIANVITO ROSSI
GIBAM
GIESSEGI
GIOCHI PREZIOSI
GIOFERRARI
GIORGETTI
GIOTTO
GIOTTO BEBè
GIRMI
GIUGIARO
GIULIANI
GIUSEPPE ZANOTTI
GIVENCHY
GIVI
GIVOVA
GLANSHIRT
GLICEMILLE
GOLDEN GOOSE
GOLDEN LADY
GOLIA
GOOD YEAR
GOTHA
GRAN SASSO
GRANA PADANO
GRAND MARNIER
GRANI'
GRISBI'
GRISPORT
GRUPPO ALIMENTARE IN TOSCANA
GSE
GUABELLO
GUCCIO GUCCI
GUGLIELMINOTTI
GUNA
GUTTERIDGE
HAGER
HALLY&SON
HAND PICKED (lanciato nel 2018)
HANSAPLAST
HARMONT&BLAINE
HAUSBRANDT
HELEN HARPER
HERITAGE HOME
HIP HOP
HOGAN
HOLLISTER.Co
HOY
HUGO BOSS
I-SPRITZ
ICEBERG
ICEPLAY
ICOM
ID
IDEA
iDO
iGUZZINI
IKRON
IL BISONTE
IL FORMAGGIARO
IL GUFO
ILLY
IMETEC
IMMERGAS
IMPERATORE
IMPERIAL
IMSB ROBOPAC
INCOTEX
IndelB
INFINITI
INGHIRAMI
INTERCOS
INTESA
INVICTA
IPC
ISAIA
ITALFARMACO
ITALGRANITI
ITAMA
IVAR
IVASS
JACOB COHEN (in lic. fino al 2021)
JAGER
JAGUAR
JAKED
JANET&JANET
JANSSEN
JANUS ET CIE
JECKERSON
JEWELS
JIL SANDER
JOHN BARRITT
JUST
JUST CAVALLI
KAOS
KARAKTER
KARIBA
KARTELL
KATE CUT
KELEMATA
KEMAFOIL
KERAKOLL
"KETCH 1973, Datch"
KIDDIES
KIKO Milano
KIMBO
KING'S
KITON
KOCCA
KOMAT'SU
KORFF
KRIZIA
KRONA
L.B.M 1911
L'ERBOLARIO
L'INGLESINA
LA GRATTUGGIATA
LA MURRINA
LA PERLA
LA RANA
LA SPORTIVA
LABELLO
LACOSTE
LAFER
LAFERT
LAMBORGHINI
LAND ROVER
LANGE & SOHNE
LANIFICIO F.LLI CERRUTI
LARDINI
LAURA BIAGIOTTI
LE BEBE'
LE BEBE' PRIME GIOIE
LeCOULTRE
LEMA
LEOCREMA
LEONE 1947
LES COPAINS
LEUCOS
LEVEL
LEVONI
LIBERTY
LILLE HEALTHCARE
LIMONI
LIMONTA
LIU JO
LIVING Divani
LOACKER
LOMBARDO
LORENZ
LORIBLU
LORO PIANA
LORUS
LOTTO
LOVABLE
LUBE
LUCA GROSSI
LUCKY STRIKE
LUIGI BIANCHI
LUIGI BORRELLI
LUISA SPAGNOLI
LUMBERJACK
LUMINAIRE
LUXOTTICA
LYCIA
MABINA
MACCHIA
MACRON
MADEL
MAELIE
MAGGIOLI EDITORE
MAGLIFICI
MAISON MARGIELA
MALIZIA
MALLONI
MANDARA
MANILA GRACE
MANITAL
MANITOU
MANTOVANI
MANUEL RITZ
MARCA CORONA
MARCHESI ANTINORI
MARCHESINI
MARCO FERRETTI
MARDLANE
MARES
MARINA RINALDI
MARINELLI
MARITAN
MARNI
MARVING
MARZOTTO
MASCHIO
MASSIGEN
MATTEL
MAURO
MAX MARA
MAXALTO
MAXDIVANI
MAZZER
MCLAUREN
MEDIOLANUM
MEDIOLANUM FARMACEUTICI
MEDUSA
MEETING
MELANIA
MELBY
MELICONI
MELLIN
MENTOS
MEZZACORONA
MFM
MILA SHON  MILANO
MILA ZB
MINOTTI
MIONETTO
MIRAGE
MISS SIXTY
MISSONI
MITSUBISHI ELECTRIC
MIX MATCH
MOCHI CRAFT
MOLESKINE
MOLINARI
MOLTENI
MOLTEX
MOMO
MOMO DESIGN
MOMONI'
MONBLANC
MONCLER
MONDADORI
MONDEOX
MONINI
MONNALISA
MONOCIBEC
MONOTHEME
MONTASIO DOP
MONTECORE
MONTEDORO
MONTEFARMACO
MONTEGRAPPA
MONTURA
MORELLATO
MORESCHI
MOROSO
MOS
MOTIVI
MR. DAY
MS
MSGM
MSGM
MSGM
MTS
MURPHY&NYE
MYLAN
N°21
NANAMICA
NANAN
NARA CAMICIE
NASHI
NASHI ARGAN
NATURINO
NATUZZI
NAVIGARE
NAXOS
NEGRONI
NEIL BARRETT
NEIL BARRETT KIDS
NEONATO
NERO GIARDINI
NESTLE'
NEW ENGLAND
NEW IN
NEWCOMFORT GOLDSTAR
NIBBI
NICHOLAS KIRKWOOD
NIDRA
NIKE
NIVEA
NONINO
NONSOLOSPORT
NORD
NORDA
NORDICA
NORTHSAILS
NORTHWAVE
NOVI
NOVO NORDISK
NUCLEO
NUTKAO
O.ME.R.
OBAG
OFFICINA PANERAI
OFFICINE SLOWEAR
OLEO-MAC
OLIOODEA
OLITALIA
OLIVELLA
OLOS
OLTRE
OMAS MOTORI
OMR
OOF WEAR
OPERA
OPPOSIT TEEN
OPS
OPTREX
ORIGINAL MARINES
OSELLA
OVS
OXS
OZ RACING
PACIOTTI
PAL ZILERI
PALL MALL
PANCALDI
PANDORA
PAOLONI
PARAH
PARMA
PARMACOTTO
PARMAREGGIO
PARMIGIANI
PASTORELLI
PASTORELLI
PATRIZIA PEPE
PAUL SHARK
PECORINO ROMANO
PEdAL ED
PEG PEREGO
PEL
PELLENERA
PEOPLE OF SHIBUYA
PERLIER
PERNIGOTTI
PERONI
PERSHING
PET ENGINEERING
PETER&SONS
PEUTEREY
PFIZER
PHILIP MORRIS
PHILIPS
PHOTOMAT
PIAGET
PICCOLA
PIERRE LOUIS MASCIA
PINARELLO
PINKO
PINO SILVESTRO
PIQUADRO
PLAYTEX
POLICE
POLLY POCKET
POLTRONA FRAU
POLTRONESOFA'
PONGO
PORRO
"PRADA,"
PRATIC
PREMIATA
PRETTI
PRIMADONNA
PRIMAFORMA
PRIMIGI
PRINCIPE
PRIVATE LABEL
PROLEATHER
PROLIFE
PRORASO
PROVENZA
PROVOLONE VALPADANA
PT PANTALONI TORINO
PUCCI
PULIRAPID
PUPA
QUADRIFOGLIO7KARBOXX
QUERCETTI
RAFTING GOLDSTAR
RAGAZZON
RANA
RAPIDA
RAVAGLIOLI
RAY BAN
REBECCA
RECORDATI
REER
REFIN CERAMICHE
REGGIANI
RENAULT
RENE CAOVILLA
REPLAY
REPORTER
REX
RH+
RIELLO
RIFLE
RILASTIL
RIONDO
RISTORA
RIVA
ROBERT FRIEDMAN
ROBERTO COLLINA
ROBOPAC
ROBOPAC PACKERS
ROBOPAC SYSTEMS
ROBUR
ROCCOBAROCCO
ROCES
ROGER VIVER
RONAL
RONCATO
RONDINE
RONDINE
ROSSETTI
ROSSIGNOL
ROUGE BAISER
ROVAGNATI
ROY ROGER'S
RUBELLI
SABAF
SAECO
SAIME
SALEWA
SALICE
SALVATORE FERRAGAMO
SALVIMAR
SAMBONET
SAMO
SAN NICOLA
SAN PELLEGRINO
SANGEMINI
SANREMO
SANTAGATA
SANTONI
SAPIENTINO
SARABANDA
SAVE THE DUCK
SCAVOLINI
SCM
SEGAFREDO ZANETTI
SEGUSO
SEIKO
SELLE ITALIA
SELLE ROYAL
SENFTER
SENTMARK
SERAPIAN
SERENITY
SERENITY
SERGIO ROSSI
SERGIO TACCHINI
SEVEN
SEVENTY
SGAMBARO
SIGNAL LUX
SILVIAN HEACH
SIMES
SIMONETTA
SIR
SIVIGLIA
SKILLS GENES
SKYY VODKA
SLAM
SLOGGY
SMACCHIO TUTTO
SNAIDER ELECTRIC
SNAIDERO
SODINI
SOFIMA FILTER
SOLARIUM E THERMAE
SOMATOLINE
SOMMA
SPARK
SPECK ALTO ADIGE
SPEEDLINE CORSE
SPEEDLINE TRUCK
SPERLARI
SPERONI
SPIC E SPAN
SPIDI
SPLEND'OR
STAR
STATHAM
STAUBLI
STEFANEL
STEFANO RICCI
STONE ISLAND
STOP
STOSA
STROILI
SUN 68
SUNGLASS HUT
SURGITAL
TAGLIATORE
TALEGGIO
TECHNOGYM
TECNICA
TECNO
TECNO LEGNO
TeN DIBI MILANO
TERRANOVA
TESCOMA
TESORI D'ORIENTE
TESTONI
TEVA
THE BRIDGE
THERMORE
THUN
TINO COSMA
TINTORIA MATTEI
TITCI
TOD'S
TOGNANA
TOMMY HILFIGER
TOP SYSTEM
TOPTIER ROBOPAC
TORRI DELLA MARCA
TOSCA BLU
TOYOTA
TRANSIT
TRIADE
TRIUMPH
TRUDI
TRUSSARDI
TRUSSARDI CASA
TRUSSARDI JEANS
TRY
TRYBEYOND
TUCANO
TUCANO URBANO
TWINSET Milano
UFI FILTERS
UNOAERRE
URMET
UYN
V73
VACHERON COSTANTIN
VAL D'OCA
VALDESIGN
VALDO
VALENTINO
VALERIO 1966
VALEXTRA
VALLESUSA
VALLEVERDE
VALLEVERDE COMFORT
VALSPORT 1920
VALSTAR
VANCLEEF&ARPLES
VENCHI
VENETA CUCINE
VENINI
VENUS
VERA
VERDISSIMA
VERONI
VERSACE
VHERNIER
VIC MATIE'
VICENZI
VICI&C
VICIVISION
VICOLO
VICTOR
VIDAL
VIDAL
VILLANI
VIRTU'
VIRTUS PALESTRE
VIST
VIVA MADE
VIVETTA
VIVIENNE WESTWOOD
VOILE BLANCHE
VON DUTCH
VORWERK
VUPIESSE
W STORE
WALLY
WASH&GO
WAVES
WILIER TRIESTINA
WINNI'S
WINX
WUDY
WYCON COSMETICS
WYLER VETTA
XAED
XXL
YAMAMAY
YES-ZEE
YUB
ZALF
ZANETTI
ZANICHELLI
ZANONE
ZARA HOME
ZARD
ZARINA
ZONIN
